
Network Stats for the last 176838 seconds:

Total Sent Spatial Packets: 50103730
Total Requested to Send Spatial Packets: 131282175
Total Sent Actor Motion Hints Packets: 3627069
Percentage of Usual Bandwidth Used: 40.14%


Total Sent: 159970141, 0B (1338.27MB)
56  BlockActorDataPacket               2605.61MB, Num 19241445, Avg 141B
111 MoveActorDeltaPacket               878.83MB, Num 90773018, Avg 10B
39  SetActorDataPacket                 371.31MB, Num 20709805, Avg 18B
74  BossEventPacket                    303.47MB, Num 7498802, Avg 42B
13  AddActorPacket                     270.97MB, Num 3410668, Avg 83B
19  MovePlayerPacket                   270.45MB, Num 8747009, Avg 32B
174 SubChunkPacket                     230.68MB, Num 173569, Avg 1.36KB
172 UpdateSubChunkBlocksPacket         101.50MB, Num 905134, Avg 117B
136 ClientCacheMissResponsePacket      84.61MB, Num 123299, Avg 0.70KB
40  SetActorMotionPacket               63.48MB, Num 3931186, Avg 16B
63  PlayerListPacket                   53.33MB, Num 1114, Avg 49.02KB
123 LevelSoundEventPacket              43.53MB, Num 1557158, Avg 29B
29  UpdateAttributesPacket             37.79MB, Num 439770, Avg 90B
49  InventoryContentPacket             26.99MB, Num 74452, Avg 380B
15  AddItemActorPacket                 9.84MB, Num 32156, Avg 320B
52  CraftingDataPacket                 9.61MB, Num 25, Avg 393.58KB
76  AvailableCommandsPacket            8.17MB, Num 25, Avg 334.64KB
122 BiomeDefinitionListPacket          7.44MB, Num 25, Avg 304.67KB
58  LevelChunkPacket                   7.19MB, Num 326602, Avg 23B
25  LevelEventPacket                   5.99MB, Num 367561, Avg 17B
67  ClientboundMapItemDataPacket       5.27MB, Num 134, Avg 40.27KB
314 CurrentStructureFeaturePacket      4.81MB, Num 237523, Avg 21B
31  MobEquipmentPacket                 4.45MB, Num 103696, Avg 45B
21  UpdateBlockPacket                  3.34MB, Num 266176, Avg 13B
118 SpawnParticleEffectPacket          3.02MB, Num 77120, Avg 41B
191 FeatureRegistryPacket              2.86MB, Num 25, Avg 117.23KB
162 ItemRegistryPacket                 2.53MB, Num 25, Avg 103.58KB
100 ModalFormRequestPacket             1.62MB, Num 2327, Avg 0.71KB
27  ActorEventPacket                   1.45MB, Num 253418, Avg 5B
14  RemoveActorPacket                  1.41MB, Num 211531, Avg 6B
145 CreativeContentPacket              1.27MB, Num 25, Avg 52.17KB
93  PlayerSkinPacket                   1.26MB, Num 4, Avg 321.31KB
44  AnimatePacket                      1.19MB, Num 91828, Avg 13B
121 NetworkChunkPublisherUpdatePacket  0.79MB, Num 11307, Avg 73B
26  BlockEventPacket                   0.77MB, Num 89986, Avg 8B
341 LocatorBarPacket                   0.75MB, Num 20265, Avg 38B
12  AddPlayerPacket                    0.60MB, Num 1210, Avg 0.51KB
80  UpdateTradePacket                  0.56MB, Num 216, Avg 2.64KB
199 UnlockedRecipesPacket              0.52MB, Num 230, Avg 2.30KB
32  MobArmorEquipmentPacket            488.05KB, Num 19604, Avg 25B
313 JigsawStructureDataPacket          476.00KB, Num 25, Avg 19.04KB
30  InventoryTransactionPacket         461.62KB, Num 6502, Avg 72B
148 ItemStackResponsePacket            387.48KB, Num 13481, Avg 29B
96  SetLastHurtByPacket                363.96KB, Num 92298, Avg 4B
50  InventorySlotPacket                361.54KB, Num 12222, Avg 30B
9   TextPacket                         357.39KB, Num 5465, Avg 66B
124 LevelEventGenericPacket            330.29KB, Num 3993, Avg 84B
326 PlayerLocationPacket               313.60KB, Num 15593, Avg 20B
119 AvailableActorIdentifiersPacket    214.31KB, Num 25, Avg 8.57KB
10  SetTimePacket                      198.66KB, Num 40685, Avg 5B
65  LegacyTelemetryEventPacket         185.58KB, Num 16940, Avg 11B
157 MotionPredictionHintsPacket        155.59KB, Num 8903, Avg 17B
186 ToastRequestPacket                 134.26KB, Num 1312, Avg 104B
17  TakeItemActorPacket                76.22KB, Num 12082, Avg 6B
161 CorrectPlayerMovePredictionPacket  71.98KB, Num 1848, Avg 39B
187 UpdateAbilitiesPacket              71.17KB, Num 2052, Avg 35B
48  PlayerHotbarPacket                 66.17KB, Num 16939, Avg 4B
41  SetActorLinkPacket                 60.80KB, Num 3113, Avg 20B
165 SyncActorPropertyPacket            42.31KB, Num 300, Avg 144B
88  SetTitlePacket                     33.95KB, Num 1130, Avg 30B
302 TrimDataPacket                     31.03KB, Num 25, Avg 1.24KB
320 CameraAimAssistPresetsPacket       26.81KB, Num 25, Avg 1.07KB
11  StartGamePacket                    24.40KB, Num 25, Avg 0.98KB
46  ContainerOpenPacket                23.95KB, Num 2480, Avg 9B
86  PlaySoundPacket                    20.01KB, Num 788, Avg 26B
51  ContainerSetDataPacket             19.56KB, Num 3767, Avg 5B
72  GameRulesChangedPacket             17.77KB, Num 25, Avg 0.71KB
300 CameraInstructionPacket            12.43KB, Num 344, Avg 37B
316 CameraAimAssistPacket              11.62KB, Num 661, Avg 18B
47  ContainerClosePacket               11.31KB, Num 2896, Avg 4B
3   ServerToClientHandshakePacket      10.45KB, Num 25, Avg 428B
149 PlayerArmorDamagePacket            9.86KB, Num 726, Avg 13B
43  SetSpawnPositionPacket             8.48KB, Num 562, Avg 15B
188 UpdateAdventureSettingsPacket      8.13KB, Num 1190, Avg 7B
198 CameraPresetsPacket                7.98KB, Num 25, Avg 327B
28  MobEffectPacket                    6.55KB, Num 572, Avg 11B
110 UpdateBlockSyncedPacket            2.74KB, Num 118, Avg 23B
146 PlayerEnchantOptionsPacket         2.56KB, Num 84, Avg 31B
6   ResourcePacksInfoPacket            2.54KB, Num 25, Avg 104B
151 UpdatePlayerGameTypePacket         2.25KB, Num 216, Avg 10B
79  CommandOutputPacket                2.15KB, Num 21, Avg 105B
142 CompletedUsingItemPacket           1.95KB, Num 249, Avg 8B
7   ResourcePackStackPacket            1.39KB, Num 25, Avg 57B
45  RespawnPacket                      1.29KB, Num 88, Avg 15B
2   PlayStatusPacket                   1.13KB, Num 232, Avg 5B
42  SetHealthPacket                    424B, Num 212, Avg 2B
176 PlayerStartItemCooldownPacket      361B, Num 19, Avg 19B
303 OpenSignPacket                     351B, Num 39, Avg 9B
130 OnScreenTextureAnimationPacket     324B, Num 54, Avg 6B
143 NetworkSettingsPacket              300B, Num 25, Avg 12B
307 SetPlayerInventoryOptionsPacket    280B, Num 40, Avg 7B
189 DeathInfoPacket                    240B, Num 5, Avg 48B
